PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,TargetRelease,Pollutant,Releases,confidentialityReason
2026/02/13,Sweden,2007,2.0,Production and processing of metals,2(e)(i),SE.CAED/10023940.Facility,Rönnskärsverken,SKELLEFTEHAMN,21.26869,64.6681,,AIR,Lead and compounds (as Pb),4080.0,
2026/02/13,Sweden,2009,3.0,Mineral industry,3(e),SE.EEA/1380-136.FACILITY,Pilkington Floatglas AB,HALMSTAD,12.9366309,56.6366085,,AIR,Carbon dioxide (CO2),145000000.0,
2026/02/13,Sweden,2011,6.0,Paper and wood production and processing,6(a),SE.CAED/10020366.Facility,Skoghalls Bruk,SKOGHALL,13.43826,59.31854,,AIR,Sulphur oxides (SOX),181000.0,
2026/02/13,Norway,2014,3.0,Mineral industry,3(a),NO.EEA/0000.0019.01.FACILITY,Valhall,Stavanger,3.393894,56.27745,,AIR,Methane (CH4),149000.0,
2026/02/13,Sweden,2009,6.0,Paper and wood production and processing,6(a),SE.CAED/10019131.Facility,Munksjö Paper AB Billingsfors,BILLINGSFORS,12.25601,58.9878,,AIR,Carbon dioxide (CO2) excluding biomass,16800000.0,
2026/02/13,Norway,2007,6.0,Paper and wood production and processing,6(a),NO.EEA/0104.0036.01.FACILITY,"PETERSON LINERBOARD AS, Moss",Moss,10.6677647,59.44151,,AIR,Carbon dioxide (CO2),312000000.0,
2026/02/13,Denmark,2021,1.0,Energy sector,1(c),DK.CAED/000106229.FACILITY,Nordjyllandsværket,Vodskov,10.044202196284552,57.07284287038003,,AIR,Carbon dioxide (CO2),1314991000.0,
2026/02/13,Denmark,2023,1.0,Energy sector,1(c),DK.CAED/000106181.FACILITY,Avedøreværket,Hvidovre,12.48152777031473,55.60399886511819,,AIR,Sulphur oxides (SOX),360000.0,
2026/02/13,Denmark,2017,1.0,Energy sector,1(c),DK.CAED/000062156.FACILITY,Fjernvarme Fyn Produktion A/S,Odense C,10.405211661181568,55.42782102817274,,AIR,Nitrogen oxides (NOX),167000.0,
2026/02/13,Denmark,2019,1.0,Energy sector,1(c),DK.CAED/000106181.FACILITY,Avedøreværket,Hvidovre,12.48152777031473,55.60399886511819,,AIR,Nitrous oxide (N2O),19038.277,
2026/02/13,Sweden,2016,7.0,Intensive livestock production and aquaculture,7(a)(i),SE.CAED/10017752.Facility,Sångletorps gård,Genarp,13.49253,55.5517,,AIR,Ammonia (NH3),10500.0,
2026/02/13,Sweden,2014,5.0,Waste and wastewater management,5(b),SE.CAED/10014459.Facility,"Boländeranläggningarna, Avfallsförbränningsanläggn",UPPSALA,17.67576,59.85219,,AIR,Carbon dioxide (CO2),348000000.0,
2026/02/13,Sweden,2009,5.0,Waste and wastewater management,5(d),SE.CAED/10013765.Facility,"PreZero Recycling AB, Kovik, Lilla Kovik",GUSTAVSBERG,18.354,59.34845,,AIR,Methane (CH4),554000.0,
2026/02/13,Sweden,2013,2.0,Production and processing of metals,2(b),SE.CAED/10022145.Facility,Alleima Tube AB,SANDVIKEN,16.79534,60.6167,,AIR,Carbon dioxide (CO2) excluding biomass,100000000.0,
2026/02/13,Sweden,2021,5.0,Waste and wastewater management,5(d),SE.CAED/10017880.Facility,NSR återvinningsanläggning Helsingborg,HELSINGBORG,12.76602,56.06926,,AIR,Methane (CH4),745000.0,
2026/02/13,Sweden,2022,1.0,Energy sector,1(c),SE.CAED/10014262.Facility,BRISTAVERKET,SIGTUNA,17.86174,59.60967,,AIR,Nitrogen oxides (NOX),151000.0,
2026/02/13,Denmark,2020,5.0,Waste and wastewater management,5(f),DK.CAED/900000024.FACILITY,Spildevandscenter Avedøre (renseanlæg),Hvidovre,12.45055509,55.6085262,,AIR,Mercury and compounds (as Hg),0.04,
2026/02/13,Denmark,2022,5.0,Waste and wastewater management,5(b),DK.CAED/000105754.FACILITY,Kredsløb Energianlæg Skanderborg,Skanderborg,9.943225277695278,56.05186236469253,,AIR,Carbon monoxide (CO),3114.0,
2026/02/13,Denmark,2021,6.0,Paper and wood production and processing,6(b),DK.CAED/000104482.FACILITY,Brødrene Hartmann A/S,Tønder,8.852227565487073,54.9267295278619,,AIR,Nitrogen oxides (NOX),18047.0,
2026/02/13,Norway,2007,3.0,Mineral industry,3(a),NO.EEA/0000.0028.01.FACILITY,Kristin,Stavanger,6.549454,64.99371,,AIR,Polychlorinated biphenyls (PCBs),0.481,
2026/02/13,Norway,2008,2.0,Production and processing of metals,2(e)(i),NO.EEA/1149.0029.01.FACILITY,"Hydro Aluminium, Karmøy",Håvik,5.312593,59.3149071,,AIR,Nickel and compounds (as Ni),1290.0,
